USB-500 Log File,,,,,ConversionTable:,,
Name: RadTel_2,,,,,Index,mA,%
Model: USB-504,,,,,1,0.00000,0.00000
Serial Number: 7104,,,,,2,20.00000,100.00000
Index, Date/Time, Current(%)
242, 9/15/2015 9:51:33 PM,  -233.47
243, 9/15/2015 9:51:43 PM,  -299.43
244, 9/15/2015 9:51:53 PM,  -291.07
245, 9/15/2015 9:52:03 PM,  -312.78
246, 9/15/2015 9:52:13 PM,  -206.61
247, 9/15/2015 9:52:23 PM,  -273.58
248, 9/15/2015 9:52:33 PM,  -191.49
249, 9/15/2015 9:52:43 PM,  -149.85
250, 9/15/2015 9:52:53 PM,  -167.15
251, 9/15/2015 9:53:03 PM,  -260.00
252, 9/15/2015 9:53:13 PM,  -250.80
253, 9/15/2015 9:53:23 PM,  -174.67
254, 9/15/2015 9:53:33 PM,  -208.60
255, 9/15/2015 9:53:43 PM,  -332.00
256, 9/15/2015 9:53:53 PM,  -285.96
257, 9/15/2015 9:54:03 PM,  -362.21
258, 9/15/2015 9:54:13 PM,  -256.82
259, 9/15/2015 9:54:23 PM,  -240.80
260, 9/15/2015 9:54:33 PM,  -307.11
261, 9/15/2015 9:54:43 PM,  -291.27
262, 9/15/2015 9:54:53 PM,  -326.13
263, 9/15/2015 9:55:03 PM,  -353.93
264, 9/15/2015 9:55:13 PM,  -252.36
265, 9/15/2015 9:55:23 PM,  -238.38
266, 9/15/2015 9:55:33 PM,  -257.21
267, 9/15/2015 9:55:43 PM,  -246.45
268, 9/15/2015 9:55:53 PM,  -206.01
269, 9/15/2015 9:56:03 PM,  -302.18
270, 9/15/2015 9:56:13 PM,  -274.95
271, 9/15/2015 9:56:23 PM,  -246.50
272, 9/15/2015 9:56:33 PM,  -249.92
273, 9/15/2015 9:56:43 PM,  -322.53
274, 9/15/2015 9:56:53 PM,  -187.93
275, 9/15/2015 9:57:03 PM,  -259.96
276, 9/15/2015 9:57:13 PM,  -198.42
277, 9/15/2015 9:57:23 PM,  -356.15
278, 9/15/2015 9:57:33 PM,  -201.16
279, 9/15/2015 9:57:43 PM,  -242.97
280, 9/15/2015 9:57:53 PM,  -258.42
281, 9/15/2015 9:58:03 PM,  -146.84
282, 9/15/2015 9:58:13 PM,  -245.30
283, 9/15/2015 9:58:23 PM,  -235.45
284, 9/15/2015 9:58:33 PM,  -181.84
285, 9/15/2015 9:58:43 PM,  -73.67
286, 9/15/2015 9:58:53 PM,  -137.31
287, 9/15/2015 9:59:03 PM,  -164.99
288, 9/15/2015 9:59:13 PM,  -113.15
289, 9/15/2015 9:59:23 PM,  -202.45
290, 9/15/2015 9:59:33 PM,  -212.76
291, 9/15/2015 9:59:43 PM,  -209.00
292, 9/15/2015 9:59:53 PM,  -132.03
293, 9/15/2015 10:00:03 PM,  -209.00
294, 9/15/2015 10:00:13 PM,  -313.34
295, 9/15/2015 10:00:23 PM,  -246.87
296, 9/15/2015 10:00:33 PM,  -284.83
297, 9/15/2015 10:00:43 PM,  -197.48
298, 9/15/2015 10:00:53 PM,  -290.83
299, 9/15/2015 10:01:03 PM,  -160.16
300, 9/15/2015 10:01:13 PM,  -144.19
301, 9/15/2015 10:01:23 PM,  -183.94
